"id","judul_bab","file","textpreprocessing"
"58","Hadis Tentang Shalat","6. Hadis Tentang Shalat/34.txt","riwayat jabir bin abdullah kata rasulullah shallallahu alaihi wassalam ajar shalat istikharah segala urus hadap bagaimana beliau ajar kami baca suratsurat dapat alquran beliau shallallahu alaihi wassalam sabda orang kalian hadap masalah shalatlah rakaat bukan shalat wajib kemudian doa allahumma inni astakhiiruka bi ilmika wa astaqdiruka biqudratika wa asaluka min fadhlikal azhim fainnaka taqdiru wa laa aqdiru qa tala wa laa ala wa anta allamul ghuyuub allahumma in kunta tala anna haadzal amra khairul lii fii ini wa maaasyii wa aaqibati amrii aw qaala aajili amrii wa aajilihi faaqdurhu lii wa yassirhu lii tsumma baarik lii fiihi wa in kunta tala anna hadzal amra syarrun lii fii ini wa maaasyi wa aaqibati amrii aw qaala aajili amrii wa aajilihi fashrifhu anni washrifnii anhu waqdur lii alkhaira haitsu kaana tsumma ardhinii qaalaa wayusammi haajatahu allah aku mohon pilih kepada ilmu mohon kuat kuasa mohon kepada karunia agung engkau maha kuasa sedang aku engkau maha tahu sedang aku engkau maha tahu segala perkara ghaib allah bila engkau tahu urus baik untuk agama hidup akhirat iniatau beliau sabda waktu dekat masa maka takdir untuk mudah kemudian beri berkah pada balik allah bila engkau tahu urus buruk untuk agama hidup akhirat beliau sabda di waktu dekat di mana maka jauh urus dari jauh aku dari tetap untuk baik kemudian ridhailah aku dengan beliau sabda dan sebut perlu hr imam albukhari"
"59","Hadis Tentang Shalat","6. Hadis Tentang Shalat/35.txt","riwayat anas bin malik masa nabi shallallahu allahu wassalam manusia pernah timpa masa paceklik nabi shallallhu alaihi wassalam sedang beri khotbah hari jumat tibatiba orang jamaah arab badui diri kata wahai rasulullah harta benda binasa jadi lapar doa allah sejahtera lalu beliau angkat dua telapak tangan doa lihat sedikit awan langit demi zat jiwa ada kuasa sungguh beliau turun dua tangan gumpal awan telah datang lambung tinggi bagai gunung beliau turun mimbar hingga akhir aku lihat hujan turun basah jenggot beliau shallallahu alaihi wassalam pada hari itu esok hari lusa harihari ikut guyur hujan hentihentinya turun hingga hari jumat ikut pada hari jumat ikut orang arab badui sebut orang lain diri kata wahai rasulullah banyak bangun roboh harta benda tenggelam hanyut doa allah kami lalu beliau angkat dua telapak tangan doa allahumma hawaalainaa wa laa alaina allah turun hujan keliling kami jangan timbul rusa kami lagi beliau beri isyarat tangan arah gumpal awan awan sebut hilang ketika saat itu kota madinah jadi danau kota madinah tidak dapat sinar matahari lama satu bulan lama dan tidak ada orang datang segala pelosok kota akan cerita jadi hujan yang lebat sebut hr imam albukhari"
"60","Hadis Tentang Shalat","6. Hadis Tentang Shalat/36.txt","riwayat anas bin malik kata sedang laksana shalat sama nabi shallallahu alaihi wassalam dapat salah satu kita letak ujung pakainnya tempat sujud udara sangat panas itu hr imam albukhari"
"61","Hadis Tentang Shalat","6. Hadis Tentang Shalat/37.txt","riwayat abu hurairah radliallahu anhu kata nabi shallallahu alaihi wassalam sabda panggil shalat azan kumandang syaitan lari keluar kentut tidak dengar suara azan sebut apabila panggil azan selesai syaitan bila ikamah kumandang syaitan lari jika ikamah selesai kumandang kembali untuk ganggu orang antara diri dan jiwa kata ingat dan hingga orang tidak sadar tiga empat rakaat shalat sudah kerja apabila tidak tahu tiga empat rakaat sujud kali sujud sahwi hr imam albukhari"
"62","Hadis Tentang Puasa","7. Hadis Tentang Puasa/1.txt","riwayat abu hurairah barang siapa puasa bulan ramadhan ada udzur halang sakit jika puasa lama satu tahun ganti mengqadha allah terima hr imam albukhari"
"63","Hadis Tentang Puasa","7. Hadis Tentang Puasa/2.txt","riwayat abi said alkhudriy radliallahu anhu kata aku dengar nabi shallallahu alaihi wassalam sabda barang siapa puasa satu hari jalan allah allah jauh wajah diri siksa neraka jauh tujuh puluh musim hr imam albukhari"
"64","Hadis Tentang Puasa","7. Hadis Tentang Puasa/3.txt","riwayat abdullah bin amr radliallahu anhuma kata sampai kabar rasulullah shallallahu alaihi wassalam aku kata allah sungguh aku puasa panjang hari sungguh aku shalat malam panjang hidup rasulullah shallallahu alaihi wassalam tanya kepada abdullah bin amr benar kamu kata sungguh aku puasa panjang hari sungguh aku shalat malam panjang hidup aku jawab bapak ibu tebus sungguh aku memang kata beliau kata sungguh kamu sanggup laksana akan tetapi puasa buka shalatlah malam tidur puasa lama tiga hari tiap bulan tiap baik akan balas puluh baik rupa puasa panjang tahun aku kata sungguh aku mampu lebih itu wahai rasulullah beliau kata kalau puasa hari buka lama hari aku kata sungguh aku mampu lebih itu beliau kata kalau puasa hari buka hari demikian itu adalah puasa nabi allah daud alaihi salam rupa puasa paling utama aku kata sungguh aku mampu lebih itu beliau sabda ada puasa lebih utama itu hr imam albukhari"
"65","Hadis Tentang Puasa","7. Hadis Tentang Puasa/4.txt","riwayat abdullah bin amr kata rasulullah shallallahu alaihi wassalam sabda kepada puasa paling allah cinta puasa nabi daud alaihis salam puasa satu hari buka satu hari shalat paling allah suka shalatnya nabi daud alaihis salam yaitu dia tidur hingga tengah malam lalu bangun diri shalat tiga malam tidur di akhir enam malam hr imam albukhari"
"66","Hadis Tentang Puasa","7. Hadis Tentang Puasa/5.txt","riwayat abu hurairah radliallahu anhu kata nabi shallallhu alaihi wassalam sabda barang siapa santap makan lupa padahal sedang puasa hendak sempurna puasa allah beri makan minum sebut hr imam albukhari"
"67","Hadis Tentang Puasa","7. Hadis Tentang Puasa/6.txt","riwayat salamah bin alakwa rasulullah shallallahu alaihi wassalam pernah sabda orang bani aslam umum kalang kaum atu tengahtengah masyarakat hari asyura barang siapa lanjur makan hendak sempurna sisa hari siapa belum makan hendak puasa hr imam albukhari"
"68","Hadis Tentang Puasa","7. Hadis Tentang Puasa/7.txt","riwayat abu bakrah kata aku pernah dengar rasulullah shallallahu alaihi wassalam sabda ada orang muslim saling temu kelah hunus pedang masingmasing bunuh bunuh masuk neraka aku tanya wahai rasulullah bagi yang bunuh bagaimana yang bunuh nabi shallallahu alaihi wassalam jawab juga belum sangat untuk bunuh teman hr imam albukhari"
"69","Hadis Tentang Puasa","7. Hadis Tentang Puasa/8.txt","riwayat abu hurairah radliallahu anhu kata rasulullah shallallahu alaihi sabda barang siapa tegak lailatul qodar iman harap pahala ampun dosadosanya telah lalu hr imam albukhari"
"70","Hadis Tentang Puasa","7. Hadis Tentang Puasa/9.txt","riwayat zaid bin tsabit kata suatu hari pernah makan sahur sama nabi shallallahu alaihi wassalam kemudian beliau pergi laksana shalat aku tanya berapa azan subuh sahur jawab banyak ukur baca lima puluh ayat ukur tunjuk tengah sedikit tidak banyak hr imam albukhari"
"71","Hadis Tentang Puasa","7. Hadis Tentang Puasa/10.txt","riwayat abu hurairah radliallahu anhu kata rasulullah shallallahu alaihi wassalam sabda apabila bulan ramadhan datang pintupintu langit buka pintupintu jahannam tutup syaitansyaitan belenggu hr imam albukhari"
"72","Hadis Tentang Sedekah, Hibah, dan Infak","8. Hadis Tentang Sedekah, Hibah, dan Infak/1.txt","riwayat abu hurairah rasulullah shallallahu alaihi wassalam kata orang lakilaki kata aku akan dakah lalu keluar bawa harta sedekah nyata jatuh ketang curi esok pagi orangorang ramai bicara beri sedekah orang curi dengar orang kata allah segala puji bagi aku akan dakah kemudian keluar bawa sedekah lalu nyata jatuh ketang zina esok pagi orangorang ramai bicara dia tadi malam beri sedekah orang zina orang kata allah segala puji bagi nyata sedekah jatuh orang zina aku akan dakah kemudian dia keluar dengan bawa sedekah lalu nyata jatuh ketang orang kaya esok pagi orangorang ramai bicara dia beri sedekah orang kaya orang orang itu tanya ya allah segala puji bagi nyata sedekah jatuh orang curi zina orang kaya itu orang tadi mimpi kata pada adapun sedekah curi moga cegah si curi sebut laku aksi sedekah zina moga cegah buat zina dan sedekah orang kaya mudahmudahan beri ajar bagi sedekah harta telah beri allah kepada hr imam albukhari"
"73","Hadis Tentang Sedekah, Hibah, dan Infak","8. Hadis Tentang Sedekah, Hibah, dan Infak/2.txt","riwayat aisyah kata rasulullah shallallahu alaihi wassalam sabda orang wanita dah upa makan dapat rumah suami nya tidak maksud timbul rusa rumah tangga bagi pahala atas apa yang telah usaha juga orang jaga hartabendahara dapat pahala tidak rang sedikit pahala masingmasing mereka hr imam albukhari"
"74","Hadis Tentang Sedekah, Hibah, dan Infak","8. Hadis Tentang Sedekah, Hibah, dan Infak/3.txt","riwayat abu burdah bapak nabi shallallahu alaihi wassalam sabda wajib tiap orang muslim dakah para sahabat tanya wahai nabi allah bagaimana ada tidak sanggup beliau jawab kerja tangan manfaat diri kemudian dakah tanya bagaimana tidak sanggup beliau jawab bantu orang sangat perlu bantu tanya bagaimana tidak sanggup beliau jawab hendak buat baik tahan diri buat buruk demikian arti sedekah bagi hr imam albukhari"
"75","Hadis Tentang Sedekah, Hibah, dan Infak","8. Hadis Tentang Sedekah, Hibah, dan Infak/4.txt","riwayat abu hurairah radliallahu anhu kata rasulullah shallallahu alaihi wassalam sabda tiga golong allah ajak bicara hari kiamat allah pandang pula akan suci serta mereka sedia siksa pedih pertama orang milik lebih air jalan lalu enggan beri ibnu sabil dua orang baiat orang pimpin baiat kepada demi penting duniawi semata bila beri apa sesuai ingin pelihara janji bila tidak maka tidak pelihara janji dan tiga orang tawar barang dagang orang waktu asar lalu dia sumpah atas nama allah sungguh harga sekian sekian aku oleh barang ini padahal dia dusta belaka hr imam albukhari"
"76","Hadis Tentang Sedekah, Hibah, dan Infak","8. Hadis Tentang Sedekah, Hibah, dan Infak/5.txt","riwayat ibnu abbas radliallahu anhuma sungguh ibu saad bin ubadah radliallahu anhu tinggal dunia ada sis kemudian dia kata wahai rasulullah ibu tinggal dunia aku ada akan manfaat bagi bila aku sedekah beliau jawab saad bin ubadah radliallahu anhu kemudian kata aku saksi kepada wahai nabi kebun penuh buah aku sedekah atas nama hr imam albukhari"
"77","Hadis Tentang Sedekah, Hibah, dan Infak","8. Hadis Tentang Sedekah, Hibah, dan Infak/6.txt","riwayat aisyah radliallahu anha kata datang orang wanita sama putri temu minta namun aku punya apaapa butir kurma lalu aku ikan kurma kepada lalu wanita bagi kurma jadi bagi beri dua putri dia makan sedikit lalu wanita diri segera pergi nabi shallallahu alaihi wassalam datang kami lalu aku segera memberitahukan masalah itu kemudian beliau sabda barang siapa beri kepada anakanak maka akan jadi lindung api neraka bagi hr imam albukhari"
"78","Hadis Tentang Sedekah, Hibah, dan Infak","8. Hadis Tentang Sedekah, Hibah, dan Infak/7.txt","riwayat jabir bin abdullah radliallahu anhuma nabi shallallahu alaihi wassalam beliau sabda buat baik sejati sedekah hr imam albukhari"
"79","Hadis Tentang Sedekah, Hibah, dan Infak","8. Hadis Tentang Sedekah, Hibah, dan Infak/8.txt","riwayat abu hurairah radliallahu anhu kata rasulullah shallallhu alaihi wassalam sabda ruas tulang manusia wajib atas sedekah tiap hari terbit matahari mana orang damai manusia hitung sedekah tolong orang naik hewan tunggang sedekah ucap baik sedekah tiap langkah jalan tuju shalat sedekah singkir yang sakit halang orang jalan sedekah hr imam albukhari"
"80","Hadis Tentang Sedekah, Hibah, dan Infak","8. Hadis Tentang Sedekah, Hibah, dan Infak/9.txt","riwayat abu masud nabi shallallahu alaihi wassalam beliau sabda apabila orang beri nafkah keluarga niat harap pahala bagi sedekah hr imam albukhari"
"81","Hadis Tentang Sedekah, Hibah, dan Infak","8. Hadis Tentang Sedekah, Hibah, dan Infak/10.txt","riwayat abu hurairah radliallahu anhu rasulullah shallallahu alaihi wassalam lihat sorang sedang giring ontanya beliau sabda kendara onta orang jawab onta untuk kurban beliau shallallahu alaihi wassalam ulang perintah kendara onta orang kembali jawab onta untuk kurban lalu beliau kata kendara onta celaka kau kalimat beliau ucap ucap beliau dua tiga hr imam albukhari"
"82","Hadis Tentang Sedekah, Hibah, dan Infak","8. Hadis Tentang Sedekah, Hibah, dan Infak/11.txt","riwayat ibnu umar kata sama nabi shallallahu alaihi wassalam suatu jalan tunggang onta masih muda milik umar nabi shallallahu alaihi wassalam kata umar jual onta kepada beri nabi shallallahu alaihi wassalam dia kata milik wahai hamba allah hr imam albukhari"
"83","Hadis Tentang Sedekah, Hibah, dan Infak","8. Hadis Tentang Sedekah, Hibah, dan Infak/12.txt","riwayat aisyah radliallahu anhu kata rasulullah shallallahu alaihi wassalam terima beri hadiah juga balas hr imam albukhari"
"84","Hadis Tentang Sedekah, Hibah, dan Infak","8. Hadis Tentang Sedekah, Hibah, dan Infak/13.txt","riwayat anas kata nabi shallallahu alaihi wassalam datang madinah kemudian beliau perintah bangun masjid lalu kata wahai bani najjar jual kebun kalian kepada jawab tidak jual kepada allah beliau perintah kuburankuburan kaum musyirikan gali lalu bangunanbangunannya hancur kemudian rata tanah beliau perintah pohonpohon kurma tebang lalu batang pohon pasang susun arah kiblat masjid hr imam albukhari"
"85","Hadis Tentang Sedekah, Hibah, dan Infak","8. Hadis Tentang Sedekah, Hibah, dan Infak/14.txt","riwayat aisyah hindun ibu muawiyah kata rasulullah shallallahu alaihi wassalam sungguh abu sufyan orang kikir boleh bila aku ambil bagi harta sembunyisembunyi beliau sabda ambil untuk anakanakmu dar apa patut cukup kamu anakanakmu hr imam albukhari"
"86","Hadis Tentang Sedekah, Hibah, dan Infak","8. Hadis Tentang Sedekah, Hibah, dan Infak/15.txt","riwayat abdullah bin murrah ibnu umar radliallahu anhuma kata nabi shallallahu alaihi wassalam larang nazar sabda sesunguhhnya nazar tolak apaapa hanya hal keluar orang bakhil hr imam albukhari"
"87","Hadis Tentang Haji","9. Hadis Tentang Haji/1.txt","riwayat abdullah bin abbas orang perempuan kata wahai rasulullah sungguh wajib allah hambahambanya tunai ibadah haji datang bapak tua renta dia akan kuat tempuh jalan aku tunai ibadah haji atas nama beliau jawab boleh peristiwa jadi haji wada pisah hr imam albukhari"
"88","Hadis Tentang Haji","9. Hadis Tentang Haji/2.txt","riwayat umar kata aku dengar nabi shallallahu alaihi wassalam sedang ada lembah alaqiq nabi kata malaikat temu waktu malam hari malaikat kata shalatlah lembah penuh berkah dan kata aku niat laksana umrah ibadah haji hr imam albukhari"
"89","Hadis Tentang Haji","9. Hadis Tentang Haji/3.txt","riwayat aisyah kata rasulullah shallallahu alaihi wassalam temu dlubaah binti azzubair beliau sabda kepada seperti kamu tunai ibadah haji jawab allah ada halang sakit beliau sabda tunai haji siap baca allahumma mahillii haitsu habastanii allah aku tahalul henti engkau rintang itu ia adalah istri miqdad bin alaswad hr imam albukhari"
"90","Hadis Tentang Haji","9. Hadis Tentang Haji/4.txt","riwayat aisyah radliallahu anha sungguh nabi shallallahu alaihi wassalam pernah temu ada sarif masuk makkah beliau dapat sedang menang datang bulan lalu beliau tanya kamu sedang haid aisyah kemudian jawab beliau sabda sungguh ini tetap allah atas wanitawanita anak adam laku apa bisa kerja haj kamu jangan thawaf kabbah sampai mina aku di beri daging sapi lantas aku tanya daging apakah ini sahabat jawab rasulullah shallallahu alaihi wassalam sembelih binatang kurban upa sapi para istri hr imam albukhari"
"91","Hadis Tentang Haji","9. Hadis Tentang Haji/5.txt","riwayat abu bakrah nabi shallallahu alaihi wassalam beliau sabda waktu terus putar bagaimana allah cipta langit bumi tahun dapat belas bulan empat antara bulan haram mulia tiga bulan dari berturutturut dzul qadah dzul hijjah muharram rajab mudlar ada antara bulan jumadil akhir syaban nabi tanya sekarang bulan jawab allah rasul lebih tahu nabi kemudian diam kami anggap beliau nama bukan nama nabi kemudian sabda bukankah hari ini hari sembelih jawab benar nabi terus sungguh darah kalian harta kalian muhammad orang perawi kata ingat beliau sabda hormat kalian haram bagaimana hormat hari kalian sekarang negeri kalian sekarang bulan kalian sekarang kalian temu tuhan kalian dia tanya kalian perihal amal kalian ingat jangan kalian tinggal jadi orang sesat bagi kalian penggal leher bagi lain ingat hendak hadir sampai hadir bisa jadi orang sampai jauh lebih paham orang yang dengar kemudian beliau sabda bukankah aku sampai kali hr imam albukhari"
"92","Hadis Tentang Haji","9. Hadis Tentang Haji/6.txt","riwayat ibnu abbas rasulullah shallallahu alaihi wassalam datang temu orangorang sedia minum layan haji lalu beliau minta minum alabbas kata wahai fadhal pergi ibu beri rasulullah shallallahu alaihi wassalam air minum beliau kata ilah aku air minum dia alabbas kata wahai rasulullah buat tangan sendiri beliau kata ilah aku air minum beliau minum lalu hampir air zamzam pada itu orangorang sedang minum kerja sana beliau kata kerja kalian kalian sedang laku buat baik kemudian beliau kata anda bukan kalian singkir aku turun ikut kerja hingga aku ikat tali sini bahu beliau tunjuk bahu beliau hr imam albukhari"
"93","Hadis Tentang Haji","9. Hadis Tentang Haji/7.txt","riwayat abu hurairah nabi shallallahu alaihi wassalam sabda antara rumah mimbar raudhah taman antara tamantaman surga mimbar ada telaga surga hr imam albukhari"
"94","Hadis Tentang Haji","9. Hadis Tentang Haji/8.txt","riwayat imam albukhari kata atha apabila pakai wangiwangian pakai pakai lupa tidak tahu tidak kafarat bagi haji hr imam albukhari"
"95","Hadis Tentang Haji","9. Hadis Tentang Haji/9.txt","riwayat abdullah bin umar ada orang lakilaki kata rasulullah shallallahu alaihi wassalam pakai apa harus kena orang sedang laksana ihram rasulullah shallallahu alaihi wassalam jawab tidak kena baju sorban celana mantel orang tidak milik sendal boleh kena sepatu harus potong bagi hingga ada bawah mata kaki larang pakai pakai beri minyak wangi wewangian dedaunan tumbuh hr imam albukhari"
"96","Hadis Tentang Jihad","10. Hadis Tentang Jihad/1.txt","riwayat abu musa kata orang lakilaki datang temu nabi shallallahu alaihi wassalam tanya wahai rasulullah sebut perang fi sabilillah jalan allah kami perang marah ada karena semangat beliau lalu angkat kepala arah orang yang tanya tidak beliau angkat kepala karena orang yang tanya diri beliau lalu jawab barang siapa perang tinggi kalimat allah dia perang di jalan allah azza wajalla hr imam albukhari"
"97","Hadis Tentang Jihad","10. Hadis Tentang Jihad/2.txt","riwayat zaid bin khalid radliallahu anhu rasulullah shallallahu alaihi wassalam sabda barang siapa siap bekal orang sedang perang jalan allah arti sungguh perang dapat pahala perang barang siapa jaga tanggung urus rumah orang perang jalan allah baik arti sama arti juga telah perang hr imam albukhari"
"98","Hadis Tentang Jihad","10. Hadis Tentang Jihad/3.txt","riwayat albarra radliallahu anhu kata aku lihat rasulullah shallallahu alaihi wassalam perang alahzab angkut tanah bebatuan mana tanahtanah telah tutup perut beliau putih syair lalaa anta ma ihtadainaa wa laa tashaddaqta wa laa shallainaa kalau bukan engkau allah akan dapat tunjuk pula tunai zakat diri shalat fa anzilan sakiinatan alainaa wa tsabbit alaqdaama in laaqainaa turun sakinat tenang kuat kakikaki kami bila temu musuh inna alulaa qad baghaualainaa idzaa araaduu fitnatan abainaa sungguh orangorang itu telah buat aniaya kami mereka hendak fitnah kami tidak pernah peduli serah hr imam albukhari"
"99","Hadis Tentang Jihad","10. Hadis Tentang Jihad/4.txt","riwayat abu hurairah radliallahu anhu kata telah sabda rasulullah shallallahu alaihi wassalam jadi hari kiamat hingga kalian rang bangsa turki mata kecil wajah kemerehan hidung pesek wajah akan perisai tutup kulit tidak akan jadi hari kiamat hingga kalian rang kaum sendal bulu hr imam albukhari"
"100","Hadis Tentang Jihad","10. Hadis Tentang Jihad/5.txt","riwayat abu hurairah radliallahu anhu kata rasulullah shallallahu alaihi wassalam sabda aku perintah rang manusia hingga ucap laa ilaaha illallah ada tuhan allah barang siapa ucap laa ilaaha illallah sungguh telah lindung jiwa harta dari kecuali dengan hak langgar hak hitung serah allah hr imam albukhari"
"101","Hadis Tentang Jihad","10. Hadis Tentang Jihad/6.txt","riwayat abdullah bin abi aufa rasulullah shallallahu alaihi wassalam harihari hadap musuh beliau nanti hingga benam matahari kemudian diri khotbah hadap manusia kata wahai sekali manusia jangan kalian harap temu musuh minta selamat allah bila kalian jumpa musuh sabar tahu sungguh pintu surga letak bawah naung pedangpedang kemudian beliau doa allaauhumma munazzilal kitaabi wa nujziyassahaabi wa haazimal ahzaabi ihzimhum wanshurnaaalaihim allah zat turun kitab zat jalan awan zat hancur pasukanpasukan binasa dan tolong dalam hadap hr imam albukhari"
"102","Hadis Tentang Jihad","10. Hadis Tentang Jihad/7.txt","riwayat abdullah bin umar radliallahu anhuma nabi shallallahu alaihi wassalam beliau sabda anda manusia tahu apa dapat pergi sendiri apa aku tahu orang tunggang kendara akan pergi malam hari sendiri hr imam albukhari"
"103","Hadis Tentang Jihad","10. Hadis Tentang Jihad/8.txt","riwayat abdullah bin umar radliallahu anhuma kata datang orang lakilaki nabi shallallahu alaihi wassalam kemudian minta izin ikut jihad beliau tanya dua orang tua hidup lakilaki jawab iya beliau kata dua kamu jihad bakti hr imam albukhari"
"104","Hadis Tentang Jihad","10. Hadis Tentang Jihad/9.txt","riwayat abdullah bin umar radliallahu anhuma nabi shallallahu alaihi wassalam larang bunuh wanita anakanak hr imam albukhari"
"105","Hadis Tentang Jihad","10. Hadis Tentang Jihad/10.txt","riwayat anas bin malik radliallahu anhu nabi shallallahu alaihi wassalam beliau sabda orang mati sakit kolera sampar syahid tiap muslim hr imam albukhari"
"106","Hadis Tentang Jihad","10. Hadis Tentang Jihad/11.txt","riwayat ibnu umar radliallahu anhuma kata dia tunggang kuda jadi peperangan kaum muslimin pimpin khalid bin alwalid utus abu bakar kemudian musuh ambil kuda musuh kalah khalid kembali kuda sebut kepada hr imam albukhari"
"107","Hadis Tentang Jihad","10. Hadis Tentang Jihad/12.txt","riwayat abu hurairah radliallahu anhu rasulullah shallallahu alaihi wassalam sabda allah jamin siapa jihad jalan mana tak niyat orang berangkat hanya untuk jihad jalannyaa benar kalimat masuk dalam surga allah kembali selamat ke tempat tinggal ia tinggal bawa pulang pahala ghanimah hr imam albukhari"
"108","Hadis Tentang Jihad","10. Hadis Tentang Jihad/13.txt","riwayat abu musa radliallahu anhu kata aku pernah temu nabi shallallahu alaihi wassalam sama rombong alasyariyin minta beliau serta dalam perang bagi ghanimah kemudian beliau kata allah aku dapat serta kalian aku punya kendara dapat serta kalian kemudian rasulullah shallallahu alaihi wassalam beri ghanimah upa onta lalu beliau tanya mana rombong alasyariyin tadi beliau beri jumlah onta putih paling baik tengah tolak pulang kata apa laku tidak berkah akhir kembali beliau lalu kata telah minta baginda serta kami baginda telah sumpah tidak serta kami apakah baginda lupa beliau lalu jawab bukan aku serta kalian allah dan sungguh allah aku tidak sumpah kemudian aku lihat sesuatu lebih baik dari aku ambil lebih baik dan bayar kafarat sumpah hr imam albukhari"
"109","Hadis Tentang Jihad","10. Hadis Tentang Jihad/14.txt","riwayat ibnu abi aufa radliallahu anhu kata alami lapar beberapa malam perang khaibar hari takluk khaibar dapat keledaikeledai piara duduk sembelih ketika periukperiuk didih seru rasulullah shallallahu alaihi wassalam kumandang seru tumpah periukperiuk dan jangan kalian makan degingdaging keledai sedikit abdullah kemudian kata kami dapat nabi shallallahu alaihi wassalam larang makan belum bagi bagi lima ghanimahnya abdullah kata namun bagi orang yang dapat beliau larang mutlak lalu aku tanya said bin jubair dia jawab beliau larang mutlak hr imam albukhari"
"110","Hadis Tentang Jihad","10. Hadis Tentang Jihad/15.txt","riwayat abu hurairah radliallahu anhu kata rasulullah shallallahu alaihi wassalam sabda seruh bakar orang orang lain sungguh api neraka tidak buat siksa hanya allah kalau kalian temu dua bunuh jangan bakar hr imam albukhari"
"111","Hadis Tentang Jihad","10. Hadis Tentang Jihad/16.txt","riwayat anas bin malik radliallahu anhu rasulullah shallallahu alaihi wassalam pasuk makkah tahun takluk makkah kena lindung kepala buat besi atas kepala beliau beliau lepas datang orang kemudian tanya sungguh ibnu khathol sedang lindung balik kain tutup kakbah beliau sabda bunuh hr imam albukhari"
"112","Hadis Tentang Jihad","10. Hadis Tentang Jihad/17.txt","riwayat ummu kultsum binti uqabah ia dengar rasulullah shallallahu alahi wassalam sabda bukan sebut dusta orang selesai selisih antara manusia lalu sampai halhal baik satu pihak tika dia kata halhal baik hr imam albukhari"
"113","Hadis Tentang Jihad","10. Hadis Tentang Jihad/18.txt","riwayat albarra bin azib kata rasulullah shallallahu alaihi wassalam ada janji damai orangorang musyrik hari hudaibiyah tiga poin pokok pertama siapa datang dari kelompok nabi shallallahu alaihi wassalam kembali barang siapa datang dari pihak maka wajib kembali mereka dua nabi shallallahu alaihi wassalam hendak datang tahun depan serta sahabat pasuk makkah laku umrah mereka boleh mukim lama tiga hari tiga kemudian mereka masuk pedang busur ada tidak hunus kemudian datang abu jandal mau masuk kelompok nabi kemudian nabi kembali mereka orang kafir hr imam albukhari"
"114","Hadis Tentang Nikah","11. Hadis Tentang Nikah/1.txt","riwayat abdullah kata suatu hari pernah sama nabi shallallahu alaihi wassalam ketika beliau sabda barang siapa sudah mampu nafkah keluarga hendak meni meni dapat tunduk pandang dapat jaga malu barang siapa tidak sanggup meni hendak puasa puasa akan jadi tameng bagi hr imam albukhari"
"115","Hadis Tentang Nikah","11. Hadis Tentang Nikah/2.txt","riwayat ibnu abbas radliallahu anhu kata nabi shallallahu alaihi wassalam sabda putri hamzah tidak halal bagi apa haram susu sama apa haram turun nasab dia putri saudara susu hr imam albukhari"
"116","Hadis Tentang Nikah","11. Hadis Tentang Nikah/3.txt","riwayat abu hurairah radliallahu anhu kata wahai rasulullah aku orang pemuda aku khawatir diri bila jerumus keji aku milik untuk nikah wanita beliau diam kemudian aku kata seperti beliau masih diam aku ulang maka nabi shallallahu alaihi wassalam baru sabda wahai abu hurairah takdir tetap atas semua harus kamu hadap boleh kamu kebiri silah tinggal hr imam albukhari"
"117","Hadis Tentang Nikah","11. Hadis Tentang Nikah/4.txt","riwayat ibnu abbas suami barirah orang budak nama mughits seperti aku lihat sedang berthawaf belakang barirah menang hingga air mata basah jenggot nabi shallallahu alaihi wassalam sabda wahai abbas tidak kamu taajub cinta mughits barirah benci barirah mughits akhir nabi shallallahu alaihi wassalam sabda anda kamu mau rujuk barirah kemudian tanya wahai rasulullah anda suruh beliau jawab aku saran akhir barirah kata sungguh aku tak hajat sedikit kepada hr imam albukhari"
"118","Hadis Tentang Nikah","11. Hadis Tentang Nikah/5.txt","riwayat aisyah radliallahu anha datang istri rifaah alqurazhii temu nabi shallallahu alaihi wassalam lalu kata dulu aku hidup keluarga sama rifaah kemudian cerai talak tiga lalu aku meni abdurrahman bin azzubair dia nyata lebih penting diri sendiri diri beliau kata kamu mau rujuk rifaah kamu rasa mesra dia dapat rasa mesra dari itu abu bakar sedang duduk dekat beliau hr imam albukhari"
"119","Hadis Tentang Nikah","11. Hadis Tentang Nikah/6.txt","riwayat abu hurairah radliallahu anhu kata rasulullah shallallahu alaihi wassalam sabda orang suami ajak istri tempat tidur jimak kemudian istri tolak dia lalu malam dalam ada marah malaikat laknat istri hingga subuh hr imam albukhari"
"120","Hadis Tentang Nikah","11. Hadis Tentang Nikah/7.txt","riwayat abu hurairah nabi shallallahu alaihi wassalam beliau sabda sungguh allah tetap tiap anak cucu adam bagi buat zina pasti jadi tidak mungkin hindar zina mata dengan lihat zina lisan dengan ucap zina nafsu ingin beranganangan malu benar semua tidak hr imam albukhari"
"121","Hadis Tentang Kurban","12. Hadis Tentang Kurban/1.txt","riwayat ibnu abbas radliallahu anhuma nabi shallallahu alaihi wassalam beliau sabda tidak buat lebih utama harihari tasyrik selain kurban lalu sahabat tanya juga jihad beliau jawab juga jihad orang keluar rumah korban diri harta benda jalan allah lalu tidak lagi hr imam albukhari"
"122","Hadis Tentang Kurban","12. Hadis Tentang Kurban/2.txt","riwayat albara bin azib kata nabi shallallahu alaihi wassalam sabda sungguh pertama kali laku hari raya adalah shalat kemudian pulang sembelih kurban barang siapa kerja itu arti telah penuh sunnah barang siapa sembelih kurban laksana shalat id itu hanya daging sembah keluarga dan tidak sedikit dapat pahala ibadah kurban hr imam albukhari"
